TIME, SSID, BSSID, SIGNAL, ACTIVE
17:11:55.899954  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 27761216 bytes (270946 packets) 	TX: 780104891 bytes (540276 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:56.899867  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 28202092 bytes (275268 packets) 	TX: 792744432 bytes (549024 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:57.899898  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 28661634 bytes (279773 packets) 	TX: 805808803 bytes (558066 packets) 	signal: -63 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:58.899887  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 29043248 bytes (283514 packets) 	TX: 816714344 bytes (565614 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:59.899879  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 29469028 bytes (287688 packets) 	TX: 828936280 bytes (574073 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:00.899899  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 29914494 bytes (292055 packets) 	TX: 841555591 bytes (582807 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:01.900006  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 30089966 bytes (293775 packets) 	TX: 846529407 bytes (586250 packets) 	signal: -69 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:02.899897  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 30424048 bytes (297050 packets) 	TX: 856101213 bytes (592875 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:03.900055  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 30774858 bytes (300489 packets) 	TX: 866198999 bytes (599864 packets) 	signal: -65 dBm 	tx bitrate: 243.0 MBit/s MCS 14 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:04.899998  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 31110674 bytes (303781 packets) 	TX: 875697110 bytes (606438 packets) 	signal: -56 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:05.899882  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 31451564 bytes (307123 packets) 	TX: 885354171 bytes (613122 packets) 	signal: -66 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:06.899906  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 31756474 bytes (310112 packets) 	TX: 894872512 bytes (619710 packets) 	signal: -65 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:07.899861  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 32264048 bytes (314847 packets) 	TX: 907455698 bytes (628419 packets) 	signal: -67 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:08.900011  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 32526118 bytes (317416 packets) 	TX: 914913543 bytes (633583 packets) 	signal: -58 dBm 	tx bitrate: 90.0 MBit/s MCS 10 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:09.900070  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 32987016 bytes (321923 packets) 	TX: 927909999 bytes (642577 packets) 	signal: -64 dBm 	tx bitrate: 216.0 MBit/s MCS 13 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:10.900006  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 33376586 bytes (325742 packets) 	TX: 938934030 bytes (650207 packets) 	signal: -60 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:11.899874  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 33801754 bytes (329910 packets) 	TX: 951005686 bytes (658562 packets) 	signal: -65 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:12.899975  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34116096 bytes (332991 packets) 	TX: 959924588 bytes (664737 packets) 	signal: -69 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:13.900005  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34344914 bytes (335234 packets) 	TX: 966300054 bytes (669150 packets) 	signal: -64 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:14.899836  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34419964 bytes (335969 packets) 	TX: 968596521 bytes (670742 packets) 	signal: -69 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:15.900036  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34653102 bytes (338254 packets) 	TX: 975201742 bytes (675314 packets) 	signal: -70 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:16.899831  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34767254 bytes (339372 packets) 	TX: 978156893 bytes (677360 packets) 	signal: -73 dBm 	tx bitrate: 90.0 MBit/s MCS 10 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

