TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005632.155146] 64 bytes from 10.82.31.86: icmp_seq=258 ttl=60 time=45.8 ms
[1495005633.143041] 64 bytes from 10.82.31.86: icmp_seq=259 ttl=60 time=32.6 ms
[1495005634.161741] 64 bytes from 10.82.31.86: icmp_seq=260 ttl=60 time=49.5 ms
[1495005635.139517] 64 bytes from 10.82.31.86: icmp_seq=261 ttl=60 time=25.6 ms
[1495005636.168656] 64 bytes from 10.82.31.86: icmp_seq=262 ttl=60 time=52.9 ms
[1495005637.149098] 64 bytes from 10.82.31.86: icmp_seq=263 ttl=60 time=32.2 ms
[1495005638.153951] 64 bytes from 10.82.31.86: icmp_seq=264 ttl=60 time=35.6 ms
[1495005639.156939] 64 bytes from 10.82.31.86: icmp_seq=265 ttl=60 time=36.7 ms
[1495005640.161647] 64 bytes from 10.82.31.86: icmp_seq=266 ttl=60 time=39.4 ms
[1495005641.167729] 64 bytes from 10.82.31.86: icmp_seq=267 ttl=60 time=43.7 ms
[1495005642.172431] 64 bytes from 10.82.31.86: icmp_seq=268 ttl=60 time=47.2 ms
[1495005643.161744] 64 bytes from 10.82.31.86: icmp_seq=269 ttl=60 time=34.8 ms
[1495005644.165701] 64 bytes from 10.82.31.86: icmp_seq=270 ttl=60 time=37.5 ms
[1495005645.170504] 64 bytes from 10.82.31.86: icmp_seq=271 ttl=60 time=40.6 ms
[1495005646.174249] 64 bytes from 10.82.31.86: icmp_seq=272 ttl=60 time=42.6 ms
[1495005647.172455] 64 bytes from 10.82.31.86: icmp_seq=273 ttl=60 time=39.2 ms
[1495005648.180062] 64 bytes from 10.82.31.86: icmp_seq=274 ttl=60 time=45.5 ms
[1495005649.173464] 64 bytes from 10.82.31.86: icmp_seq=275 ttl=60 time=37.2 ms
[1495005650.177721] 64 bytes from 10.82.31.86: icmp_seq=276 ttl=60 time=40.4 ms
[1495005651.190280] 64 bytes from 10.82.31.86: icmp_seq=277 ttl=60 time=51.3 ms
[1495005652.173077] 64 bytes from 10.82.31.86: icmp_seq=278 ttl=60 time=32.4 ms
[1495005653.181996] 64 bytes from 10.82.31.86: icmp_seq=279 ttl=60 time=39.7 ms
[1495005654.180850] 64 bytes from 10.82.31.86: icmp_seq=280 ttl=60 time=36.6 ms
[1495005655.201721] 64 bytes from 10.82.31.86: icmp_seq=281 ttl=60 time=56.4 ms
