TIME, SSID, BSSID, SIGNAL, ACTIVE
13:38:05.820163  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8320739 bytes (81403 packets) 	TX: 241915476 bytes (167584 packets) 	signal: -63 dBm 	tx bitrate: 14.4 MBit/s MCS 8 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:06.820044  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8361493 bytes (81802 packets) 	TX: 243190210 bytes (168468 packets) 	signal: -62 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:07.820142  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8481171 bytes (82975 packets) 	TX: 246814396 bytes (170977 packets) 	signal: -62 dBm 	tx bitrate: 130.0 MBit/s MCS 14 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:08.820156  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8619209 bytes (84328 packets) 	TX: 250789835 bytes (173730 packets) 	signal: -61 dBm 	tx bitrate: 78.0 MBit/s MCS 12  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:09.820197  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8747683 bytes (85587 packets) 	TX: 254799836 bytes (176506 packets) 	signal: -62 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:10.820151  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8887965 bytes (86962 packets) 	TX: 258896537 bytes (179342 packets) 	signal: -61 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:11.820072  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 9002465 bytes (88084 packets) 	TX: 262233286 bytes (181653 packets) 	signal: -62 dBm 	tx bitrate: 43.3 MBit/s MCS 10 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:12.820073  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 9122041 bytes (89256 packets) 	TX: 265838687 bytes (184149 packets) 	signal: -63 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:13.820197  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 9272931 bytes (90735 packets) 	TX: 270850073 bytes (187618 packets) 	signal: -64 dBm 	tx bitrate: 72.2 MBit/s MCS 7 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

