TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980497.814823] 64 bytes from 10.82.31.73: icmp_seq=261 ttl=61 time=435 ms
[1489980498.916322] 64 bytes from 10.82.31.73: icmp_seq=262 ttl=61 time=535 ms
[1489980501.010061] 64 bytes from 10.82.31.73: icmp_seq=263 ttl=61 time=1627 ms
[1489980501.161139] 64 bytes from 10.82.31.73: icmp_seq=264 ttl=61 time=770 ms
[1489980504.375990] 64 bytes from 10.82.31.73: icmp_seq=265 ttl=61 time=2986 ms
[1489980504.382035] 64 bytes from 10.82.31.73: icmp_seq=266 ttl=61 time=1983 ms
[1489980504.382113] 64 bytes from 10.82.31.73: icmp_seq=267 ttl=61 time=975 ms
[1489980504.495528] 64 bytes from 10.82.31.73: icmp_seq=268 ttl=61 time=89.0 ms
[1489980506.328786] 64 bytes from 10.82.31.73: icmp_seq=269 ttl=61 time=920 ms
[1489980509.156806] 64 bytes from 10.82.31.73: icmp_seq=270 ttl=61 time=2749 ms
[1489980511.559597] 64 bytes from 10.82.31.73: icmp_seq=271 ttl=61 time=4145 ms
[1489980511.589934] 64 bytes from 10.82.31.73: icmp_seq=272 ttl=61 time=3167 ms
[1489980511.593133] 64 bytes from 10.82.31.73: icmp_seq=273 ttl=61 time=2170 ms
[1489980511.603468] 64 bytes from 10.82.31.73: icmp_seq=274 ttl=61 time=1173 ms
[1489980512.193588] 64 bytes from 10.82.31.73: icmp_seq=275 ttl=61 time=755 ms
[1489980514.697614] 64 bytes from 10.82.31.73: icmp_seq=276 ttl=61 time=2259 ms
[1489980514.808567] 64 bytes from 10.82.31.73: icmp_seq=277 ttl=61 time=1362 ms
[1489980514.814660] 64 bytes from 10.82.31.73: icmp_seq=278 ttl=61 time=360 ms
[1489980515.534264] 64 bytes from 10.82.31.73: icmp_seq=279 ttl=61 time=78.5 ms
[1489980516.474991] 64 bytes from 10.82.31.73: icmp_seq=280 ttl=61 time=17.5 ms
[1489980517.544958] 64 bytes from 10.82.31.73: icmp_seq=281 ttl=61 time=85.5 ms
[1489980518.964953] 64 bytes from 10.82.31.73: icmp_seq=282 ttl=61 time=503 ms
[1489980519.544210] 64 bytes from 10.82.31.73: icmp_seq=283 ttl=61 time=81.3 ms
[1489980520.983423] 64 bytes from 10.82.31.73: icmp_seq=284 ttl=61 time=518 ms
