TIME, SSID, BSSID, SIGNAL, ACTIVE
13:25:10.701572  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 19351181 bytes (188543 packets) 	TX: 538058641 bytes (372426 packets) 	signal: -52 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:11.701628  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 19825463 bytes (193150 packets) 	TX: 551247282 bytes (381554 packets) 	signal: -53 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:12.701645  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 20192899 bytes (196752 packets) 	TX: 561800243 bytes (388858 packets) 	signal: -65 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:13.701636  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 20522529 bytes (199983 packets) 	TX: 571363379 bytes (395477 packets) 	signal: -63 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:14.701773  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 20707079 bytes (201792 packets) 	TX: 576400775 bytes (398964 packets) 	signal: -67 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:15.701760  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 20776063 bytes (202468 packets) 	TX: 578439796 bytes (400376 packets) 	signal: -69 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:16.701769  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 20893839 bytes (203622 packets) 	TX: 581699842 bytes (402633 packets) 	signal: -71 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

